period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units,region
2025-04-30,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Eastern,Eastern,334913,megawatthours,New York
2025-04-30,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Mountain,Mountain,333359,megawatthours,New York
2025-04-30,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Pacific,Pacific,332704,megawatthours,New York
2025-04-30,NYIS,New York Independent System Operator,NG,Net generation,Arizona,Arizona,313467,megawatthours,New York
2025-04-30,NYIS,New York Independent System Operator,NG,Net generation,Central,Central,313618,megawatthours,New York
2025-04-30,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,314141,megawatthours,New York
2025-04-30,NYIS,New York Independent System Operator,NG,Net generation,Mountain,Mountain,313655,megawatthours,New York
2025-04-30,NYIS,New York Independent System Operator,NG,Net generation,Pacific,Pacific,313467,megawatthours,New York
2025-04-30,NYIS,New York Independent System Operator,TI,Total interchange,Arizona,Arizona,-31391,megawatthours,New York
2025-04-30,NYIS,New York Independent System Operator,TI,Total interchange,Central,Central,-31586,megawatthours,New York
2025-04-30,NYIS,New York Independent System Operator,TI,Total interchange,Eastern,Eastern,-31288,megawatthours,New York
2025-04-30,NYIS,New York Independent System Operator,TI,Total interchange,Mountain,Mountain,-31357,megawatthours,New York
2025-04-30,NYIS,New York Independent System Operator,TI,Total interchange,Pacific,Pacific,-31391,megawatthours,New York
2025-05-01,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,342656,megawatthours,New York
2025-05-01,NYIS,New York Independent System Operator,D,Demand,Central,Central,342629,megawatthours,New York
2025-05-01,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,342641,megawatthours,New York
2025-05-01,NYIS,New York Independent System Operator,D,Demand,Mountain,Mountain,342633,megawatthours,New York
2025-05-01,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,342656,megawatthours,New York
2025-05-01,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Arizona,Arizona,329431,megawatthours,New York
2025-05-01,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Central,Central,329506,megawatthours,New York
2025-05-01,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Eastern,Eastern,329522,megawatthours,New York
2025-05-01,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Mountain,Mountain,329489,megawatthours,New York
2025-05-01,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Pacific,Pacific,329431,megawatthours,New York
2025-05-01,NYIS,New York Independent System Operator,NG,Net generation,Arizona,Arizona,314737,megawatthours,New York
2025-05-01,NYIS,New York Independent System Operator,NG,Net generation,Central,Central,314057,megawatthours,New York
2025-05-01,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,313829,megawatthours,New York
2025-05-01,NYIS,New York Independent System Operator,NG,Net generation,Mountain,Mountain,314480,megawatthours,New York
2025-05-01,NYIS,New York Independent System Operator,NG,Net generation,Pacific,Pacific,314737,megawatthours,New York
2025-05-01,NYIS,New York Independent System Operator,TI,Total interchange,Arizona,Arizona,-27919,megawatthours,New York
2025-05-01,NYIS,New York Independent System Operator,TI,Total interchange,Central,Central,-28572,megawatthours,New York
2025-05-01,NYIS,New York Independent System Operator,TI,Total interchange,Eastern,Eastern,-28812,megawatthours,New York
2025-05-01,NYIS,New York Independent System Operator,TI,Total interchange,Mountain,Mountain,-28153,megawatthours,New York
2025-05-01,NYIS,New York Independent System Operator,TI,Total interchange,Pacific,Pacific,-27919,megawatthours,New York
2025-05-02,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,366165,megawatthours,New York
2025-05-02,NYIS,New York Independent System Operator,D,Demand,Central,Central,365077,megawatthours,New York
2025-05-02,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,364283,megawatthours,New York
2025-05-02,NYIS,New York Independent System Operator,D,Demand,Mountain,Mountain,365694,megawatthours,New York
2025-05-02,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,366165,megawatthours,New York
2025-05-02,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Arizona,Arizona,353352,megawatthours,New York
2025-05-02,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Central,Central,351832,megawatthours,New York
2025-05-02,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Eastern,Eastern,350893,megawatthours,New York
2025-05-02,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Mountain,Mountain,352654,megawatthours,New York
2025-05-02,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Pacific,Pacific,353352,megawatthours,New York
2025-05-02,NYIS,New York Independent System Operator,NG,Net generation,Arizona,Arizona,323557,megawatthours,New York
2025-05-02,NYIS,New York Independent System Operator,NG,Net generation,Central,Central,326238,megawatthours,New York
2025-05-02,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,327055,megawatthours,New York
2025-05-02,NYIS,New York Independent System Operator,NG,Net generation,Mountain,Mountain,324897,megawatthours,New York
2025-05-02,NYIS,New York Independent System Operator,NG,Net generation,Pacific,Pacific,323557,megawatthours,New York
2025-05-02,NYIS,New York Independent System Operator,TI,Total interchange,Arizona,Arizona,-42608,megawatthours,New York
2025-05-02,NYIS,New York Independent System Operator,TI,Total interchange,Central,Central,-38839,megawatthours,New York
2025-05-02,NYIS,New York Independent System Operator,TI,Total interchange,Eastern,Eastern,-37228,megawatthours,New York
2025-05-02,NYIS,New York Independent System Operator,TI,Total interchange,Mountain,Mountain,-40797,megawatthours,New York
2025-05-02,NYIS,New York Independent System Operator,TI,Total interchange,Pacific,Pacific,-42608,megawatthours,New York
2025-05-03,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,359272,megawatthours,New York
2025-05-03,NYIS,New York Independent System Operator,D,Demand,Central,Central,359184,megawatthours,New York
2025-05-03,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,359167,megawatthours,New York
2025-05-03,NYIS,New York Independent System Operator,D,Demand,Mountain,Mountain,359222,megawatthours,New York
2025-05-03,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,359272,megawatthours,New York
2025-05-03,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Arizona,Arizona,340931,megawatthours,New York
2025-05-03,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Central,Central,341118,megawatthours,New York
2025-05-03,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Eastern,Eastern,341291,megawatthours,New York
2025-05-03,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Mountain,Mountain,341011,megawatthours,New York
2025-05-03,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Pacific,Pacific,340931,megawatthours,New York
2025-05-03,NYIS,New York Independent System Operator,NG,Net generation,Arizona,Arizona,297084,megawatthours,New York
2025-05-03,NYIS,New York Independent System Operator,NG,Net generation,Central,Central,296487,megawatthours,New York
2025-05-03,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,296412,megawatthours,New York
2025-05-03,NYIS,New York Independent System Operator,NG,Net generation,Mountain,Mountain,296718,megawatthours,New York
2025-05-03,NYIS,New York Independent System Operator,NG,Net generation,Pacific,Pacific,297084,megawatthours,New York
2025-05-03,NYIS,New York Independent System Operator,TI,Total interchange,Arizona,Arizona,-62188,megawatthours,New York
2025-05-03,NYIS,New York Independent System Operator,TI,Total interchange,Central,Central,-62697,megawatthours,New York
2025-05-03,NYIS,New York Independent System Operator,TI,Total interchange,Eastern,Eastern,-62755,megawatthours,New York
2025-05-03,NYIS,New York Independent System Operator,TI,Total interchange,Mountain,Mountain,-62504,megawatthours,New York
2025-05-03,NYIS,New York Independent System Operator,TI,Total interchange,Pacific,Pacific,-62188,megawatthours,New York
2025-05-04,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,349654,megawatthours,New York
2025-05-04,NYIS,New York Independent System Operator,D,Demand,Central,Central,350673,megawatthours,New York
2025-05-04,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,351454,megawatthours,New York
2025-05-04,NYIS,New York Independent System Operator,D,Demand,Mountain,Mountain,350064,megawatthours,New York
2025-05-04,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,349654,megawatthours,New York
2025-05-04,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Arizona,Arizona,333942,megawatthours,New York
2025-05-04,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Central,Central,334371,megawatthours,New York
2025-05-04,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Eastern,Eastern,334748,megawatthours,New York
2025-05-04,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Mountain,Mountain,334105,megawatthours,New York
2025-05-04,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Pacific,Pacific,333942,megawatthours,New York
2025-05-04,NYIS,New York Independent System Operator,NG,Net generation,Arizona,Arizona,287103,megawatthours,New York
2025-05-04,NYIS,New York Independent System Operator,NG,Net generation,Central,Central,289672,megawatthours,New York
2025-05-04,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,290217,megawatthours,New York
2025-05-04,NYIS,New York Independent System Operator,NG,Net generation,Mountain,Mountain,288569,megawatthours,New York
2025-05-04,NYIS,New York Independent System Operator,NG,Net generation,Pacific,Pacific,287103,megawatthours,New York
2025-05-04,NYIS,New York Independent System Operator,TI,Total interchange,Arizona,Arizona,-62551,megawatthours,New York
2025-05-04,NYIS,New York Independent System Operator,TI,Total interchange,Central,Central,-61001,megawatthours,New York
2025-05-04,NYIS,New York Independent System Operator,TI,Total interchange,Eastern,Eastern,-61237,megawatthours,New York
2025-05-04,NYIS,New York Independent System Operator,TI,Total interchange,Mountain,Mountain,-61495,megawatthours,New York
2025-05-04,NYIS,New York Independent System Operator,TI,Total interchange,Pacific,Pacific,-62551,megawatthours,New York
2025-05-05,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,375255,megawatthours,New York
2025-05-05,NYIS,New York Independent System Operator,D,Demand,Central,Central,372733,megawatthours,New York
2025-05-05,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,370613,megawatthours,New York
2025-05-05,NYIS,New York Independent System Operator,D,Demand,Mountain,Mountain,375309,megawatthours,New York
2025-05-05,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,375255,megawatthours,New York
2025-05-05,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Arizona,Arizona,364464,megawatthours,New York
2025-05-05,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Central,Central,364387,megawatthours,New York
2025-05-05,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Eastern,Eastern,364275,megawatthours,New York
2025-05-05,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Mountain,Mountain,364438,megawatthours,New York
2025-05-05,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Pacific,Pacific,364464,megawatthours,New York
2025-05-05,NYIS,New York Independent System Operator,NG,Net generation,Arizona,Arizona,325012,megawatthours,New York
2025-05-05,NYIS,New York Independent System Operator,NG,Net generation,Central,Central,318776,megawatthours,New York
2025-05-05,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,315481,megawatthours,New York
2025-05-05,NYIS,New York Independent System Operator,NG,Net generation,Mountain,Mountain,323186,megawatthours,New York
2025-05-05,NYIS,New York Independent System Operator,NG,Net generation,Pacific,Pacific,325012,megawatthours,New York
2025-05-05,NYIS,New York Independent System Operator,TI,Total interchange,Arizona,Arizona,-50243,megawatthours,New York
2025-05-05,NYIS,New York Independent System Operator,TI,Total interchange,Central,Central,-53957,megawatthours,New York
2025-05-05,NYIS,New York Independent System Operator,TI,Total interchange,Eastern,Eastern,-55132,megawatthours,New York
2025-05-05,NYIS,New York Independent System Operator,TI,Total interchange,Mountain,Mountain,-52123,megawatthours,New York
2025-05-05,NYIS,New York Independent System Operator,TI,Total interchange,Pacific,Pacific,-50243,megawatthours,New York
2025-05-06,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,360106,megawatthours,New York
